"year","lwr","mean","upr"
1988,16153.8883063061,18465.3191918019,20358.082603984
1989,13025.3906339407,16644.9416692075,21044.8158856209
1990,13386.8837534374,14941.0816822664,16844.8578059213
1991,10977.6128874189,14259.2638786086,18279.7816015048
1992,12103.0444817146,13378.7604879218,15432.1842988183
1993,15258.5582542659,17207.1072884203,19008.8552772489
1994,16286.8952127607,18572.6857857169,20477.7882267165
1995,14916.5915736718,16730.7764210306,18677.0796453102
1996,11205.3990021184,15076.3519033831,19811.3288659098
1997,10052.4390329698,13423.5335036579,17569.6029155196
1998,10721.7328286554,11936.5912730626,13531.3581596939
1999,10869.8823829356,11980.5950255483,13522.9835382472
2000,12305.8102117989,14111.608112902,15601.6251773241
2001,11752.9420722557,13255.4083429131,14681.6697502464
2002,10512.2460738155,11813.3214704715,13061.4900539547
2003,8483.18995301945,9390.25534541082,10600.0755498273
2004,7729.74594666694,8525.36035048325,9628.77520110084
2005,8088.22332591574,9274.9574898656,10246.0456436042
2006,6224.36967750943,8016.28952439972,10119.8152894654
2007,6129.97632726124,6822.38790267553,7688.19627794742
2008,5783.9696621822,6399.7904622879,7203.17436222876
2009,6073.91580013599,6921.36998511848,7627.01243339883
2010,5328.59687934325,5990.9723096891,6619.26483618122
2011,4254.67837230517,4714.47972835314,5321.16655624584
2012,3809.36799392959,4216.24943000641,4761.86823266954
2013,3593.88906839266,3996.06861251312,4556.7795329319
2014,3403.58854903827,4425.94854176142,5635.07521373205
2015,4313.51101357697,4815.21977142174,5366.95377568886
2016,4471.45252375516,4962.75107791982,5583.03646723868
2017,4943.15012602695,5466.69315472885,6161.90569105586
2018,6207.10714100475,7234.36932295245,7981.70472855076
2019,5151.86217677995,6665.27987188541,8467.81959225702
2020,5438.03404250708,6095.57972984331,6902.60043223222
