"","Point est.","Upper C.I."
"beta[1]",1.00019340441146,1.00111261925602
"beta[2]",1.00577631169655,1.02116546659988
"beta[3]",1.00310399920673,1.0107743349504
"beta[4]",1.00397352416173,1.01505535039729
"beta[5]",1.00030222676125,1.00154510551557
"beta[6]",1.00126404808969,1.00333769736273
"beta[7]",1.00089305020226,1.00358092275632
"beta[8]",1.00055893822346,1.0025670409053
"beta[9]",1.00070410942745,1.00079483576891
"beta[10]",1.00032400065554,1.00077245531646
"beta[11]",1.00113222557935,1.00417315816169
"beta[12]",1.00035342288456,1.00184645782947
"beta[13]",1.00087694695999,1.00329252467973
"beta[14]",1.00035945955231,1.00156666641701
"beta[15]",1.00117991297924,1.00426922966037
"beta[16]",1.0003864871038,1.00193062410644
"beta[17]",1.00037061791478,1.00092087999803
"beta[18]",1.00029072298023,1.00066642362326
"beta[19]",1.00171405446748,1.00693888431771
"beta[20]",1.00260178587407,1.00889658611069
"beta[21]",1.00088173880561,1.00269476353654
"beta[22]",1.00045408270749,1.00227865826423
"eta_out[1]",1.00044710093289,1.00145285608133
"eta_out[2]",1.00021156239155,1.00114426208759
"eta_out[3]",1.00072873217435,1.00324406708268
"eta_out[4]",0.999906171026409,1.00024749389416
"eta_out[5]",1.00279222371266,1.01029198437888
"eta_out[6]",1.00532270408754,1.01856719289855
"eta_out[7]",1.0014813445474,1.00595150807957
"eta_out[8]",1.00084047015552,1.00335106999222
"eta_out[9]",1.00102539657063,1.00400244162367
"eta_out[10]",0.99999386954348,1.00002390218077
"eta_out[11]",1.00068614882435,1.00209957543685
"eta_out[12]",1.00021021108965,1.00111565169873
"eta_out[13]",1.00229198525302,1.00887547772666
"eta_out[14]",0.999905943908595,1.00025331798476
"eta_out[15]",1.00230143264867,1.00881712017665
"eta_out[16]",1.00066362399022,1.00248902416948
"mu_out",1.00239340576893,1.00942959378094
"nb_r",1.00065117663774,1.00281460053284
"rho",1.00392709954542,1.0122283478174
"sigma",1.01687950427593,1.05613357531828
"sigma_out",1.00032504861179,1.00142054060243
